,word_id,word,passage,sent_num,miscue,prior_sim_val,single_primer,word_len,totallog10,totalsubtlwf
475,105,sat,the_surprise,15,0.09876543209876543,-0.0096772825345397,-0.0096772825345397,3.0,3.1643999999999997,28.61
480,107,outside,the_surprise,15,0.1728395061728395,0.244641225785017,0.0842232033610344,7.0,3.9381000000000004,170.02
487,109,old,mouse_in_the_house,16,0.07547169811320754,0.17197957634925842,0.17197957634925842,3.0,4.4922,608.94
489,110,cage,the_surprise,15,0.18518518518518517,0.15935146808624268,0.2072833627462387,4.0,3.0149,20.27
490,110,enables,toads,13,0.18309859154929578,0.060674903293450676,0.09269419312477112,7.0,1.5441,0.67
491,110,stairs,mouse_in_the_house,16,0.2641509433962264,0.23414397984743118,0.08174575865268707,6.0,3.0839,23.759999999999998
498,113,fuzzy,the_surprise,16,0.16049382716049382,0.34336140751838684,0.34336140751838684,5.0,2.4742,5.82
501,114,puppy,the_surprise,16,0.14814814814814814,0.17692815512418747,0.20638889074325562,5.0,2.7672,11.45
503,114,underwater,toads,13,0.04225352112676056,0.15679199993610382,0.32526153326034546,10.0,2.5105,6.33
504,115,came,the_surprise,16,0.12345679012345678,0.0029008472338318825,-0.014167693443596363,4.0,4.3738,463.7300000000001
514,118,mouse,mouse_in_the_house,17,0.07547169811320754,0.10973075032234192,0.10973075032234192,5.0,2.9894,19.12
516,119,good,toads,14,0.02112676056338028,0.18793989717960358,0.18793989717960358,4.0,5.1242,2610.14
517,119,ran,mouse_in_the_house,17,0.07547169811320754,0.17939392663538456,-0.01801992580294609,3.0,3.6332,84.23999999999998
523,121,spotting,toads,14,0.056338028169014086,0.39322564005851746,0.3395732343196869,8.0,1.5441,0.67
526,122,movement,toads,14,0.07746478873239436,0.40328481793403625,0.47136926651000977,8.0,2.8797,14.840000000000002
527,122,wall,mouse_in_the_house,17,0.20754716981132076,0.15023131420214972,0.06358020752668381,4.0,3.557,70.69
530,123,paw,the_surprise,17,0.24691358024691357,0.43916836380958557,0.43916836380958557,3.0,2.2041,3.12
538,126,cage,the_surprise,17,0.19753086419753085,0.3038649260997772,0.32710087299346924,4.0,3.0149,20.27
539,126,murky,toads,14,0.1056338028169014,-0.001492530107498169,-0.10201004892587662,5.0,1.5051,0.61
542,127,pond,toads,14,0.056338028169014086,0.16319106742739678,0.3010740578174591,4.0,2.5105,6.33
546,129,inside,mouse_in_the_house,18,0.18867924528301888,-0.0012565938523039222,-0.0012565938523039222,6.0,4.0325,211.27000000000004
552,131,cold,toads,14,0.04929577464788732,0.20088654632369676,0.22191572189331055,4.0,3.8221,130.16
555,132,moonless,toads,14,0.07746478873239436,0.33325336022036417,0.4695124924182892,8.0,0.699,0.08
556,132,saying,the_surprise,18,0.16049382716049382,0.43672704696655273,0.43672704696655273,6.0,4.1725,291.65
557,132,wall,mouse_in_the_house,18,0.1320754716981132,0.3018674813210964,0.540154755115509,4.0,3.557,70.69
558,133,night,toads,14,0.035211267605633804,0.25549633882474154,0.4049885869026184,5.0,4.6451,866.04
566,135,home,the_surprise,18,0.024691358024691357,0.18903741240501404,0.1701844036579132,4.0,4.5965,774.33
573,138,eyesight,toads,15,0.11267605633802817,0.13592007756233215,0.13592007756233215,8.0,2.0,1.9400000000000002
574,138,father,the_surprise,19,0.075,0.05508444458246231,0.05508444458246231,6.0,4.4515,554.49
575,138,heard,mouse_in_the_house,20,0.11320754716981132,0.1788923293352127,0.1788923293352127,5.0,4.2961,387.75
578,139,thought,the_surprise,19,0.1375,0.19338368251919746,0.45261073112487793,7.0,4.6152,808.47
579,140,mouse,mouse_in_the_house,20,0.05660377358490566,0.11627866700291634,0.10924302786588669,5.0,2.9894,19.12
581,140,ok,the_surprise,19,0.075,0.057362522929906845,0.017686206847429276,2.0,4.4138,508.39
582,141,little,the_surprise,19,0.0875,0.24362837895751,0.1405872255563736,6.0,4.8679,1446.39
585,142,pup,the_surprise,19,0.3,0.12757371366024017,0.22130483388900757,3.0,2.2175,3.22
587,142,sharp,toads,15,0.014084507042253521,0.22806173004209995,0.42483314871788025,5.0,3.0842,23.78
598,146,want,mouse_in_the_house,21,0.09433962264150944,0.15069642663002014,0.15069642663002014,4.0,5.1484,2759.1799999999994
600,147,home,the_surprise,19,0.025,0.1577822401498755,0.1454980969429016,4.0,4.5965,774.33
601,147,standing,toads,16,0.04929577464788732,0.1845213770866394,0.1845213770866394,8.0,3.6015,78.31
604,148,house,mouse_in_the_house,21,0.03773584905660377,0.13877125084400177,0.20271113514900208,5.0,4.4185,514.0
605,148,right,toads,16,0.028169014084507043,0.4267142564058304,0.6009863018989563,5.0,5.3105,4008.39
607,149,paid,the_surprise,19,0.3125,0.05563955434731075,0.1510438770055771,4.0,3.6405000000000003,85.67
615,152,puppy,the_surprise,19,0.0625,0.23490946186939254,0.0077501763589680195,5.0,2.7672,11.45
619,153,happy,mouse_in_the_house,22,0.03773584905660377,0.15373098850250244,0.15373098850250244,5.0,4.2303,333.2
620,153,toad,toads,16,0.06338028169014084,0.1358024263754487,0.020433207973837852,4.0,2.4639,5.69
629,156,long,toads,16,0.07042253521126761,0.2385795433074236,0.05722252279520035,4.0,4.537,675.16
631,157,hold,the_surprise,19,0.225,0.10300367325544357,0.023533400148153305,4.0,4.3478,436.73
633,158,new,mouse_in_the_house,23,0.18867924528301888,-0.02721848338842392,-0.02721848338842392,3.0,4.5672,723.78
634,158,note,the_surprise,19,0.2625,0.08924818793311715,0.20518667995929718,4.0,3.4365,53.55
636,159,bug,toads,16,0.04929577464788732,0.19089594669640064,0.014124758541584015,3.0,3.029,20.94
638,159,people,mouse_in_the_house,23,0.03773584905660377,0.2287023887038231,0.16684432327747345,6.0,4.7501,1102.98
640,160,stays,toads,16,0.04929577464788732,0.13619371068974337,0.09480289369821548,5.0,2.9903,19.16
642,161,cage,the_surprise,19,0.1,0.11830229786309329,-0.02636842429637909,4.0,3.0149,20.27
643,161,try,mouse_in_the_house,23,0.11320754716981132,0.2518775959809621,0.22018687427043915,3.0,4.3859,476.75
652,164,rid,mouse_in_the_house,23,0.2641509433962264,0.17904566135257483,0.2826520800590515,3.0,3.4847,59.839999999999996
653,164,toad,toads,16,0.035211267605633804,0.2502263165744288,-0.053166646510362625,4.0,2.4639,5.69
655,165,sam,the_surprise,20,0.125,-0.059331994503736496,-0.059331994503736496,3.0,3.7980999999999994,123.16
664,168,dad,the_surprise,20,0.05,0.18058497458696365,0.2137525975704193,3.0,4.4128,507.25
668,169,went,the_surprise,20,0.075,0.14585637177030245,0.16522280871868134,4.0,4.322,411.51000000000005
671,170,visited,mouse_in_the_house,24,0.49056603773584906,0.22553880512714386,0.22553880512714386,7.0,2.5453,6.860000000000001
676,172,house,mouse_in_the_house,24,0.09433962264150944,0.3389198035001755,0.29671433568000793,5.0,4.4185,514.0
677,172,ride,the_surprise,20,0.0875,0.17035318817943335,0.20663422346115112,4.0,3.8391999999999995,135.37
682,174,insect,toads,17,0.07746478873239436,0.11907088756561279,0.11907088756561279,6.0,2.2095,3.16
683,174,mouse,mouse_in_the_house,24,0.07547169811320754,0.1775349366168181,0.30104371905326843,5.0,2.9894,19.12
684,175,drove,the_surprise,21,0.225,0.14324282109737396,0.14324282109737396,5.0,3.1682,28.860000000000003
685,175,moves,toads,17,0.07746478873239436,0.16551534086465836,0.18215875327587128,5.0,3.1526,27.84
692,177,toad,toads,17,0.09859154929577464,0.13202715075264373,0.0064897434785962105,4.0,2.4639,5.69
693,178,animal,the_surprise,21,0.125,0.08877569250762463,-0.06245702877640724,6.0,3.3656999999999995,45.49
696,179,care,the_surprise,21,0.3,0.1855449639260769,0.27604246139526367,4.0,4.3936,485.25
697,179,suddenly,toads,17,0.07042253521126761,0.3056540936231613,0.1471521556377411,8.0,3.4556,55.96
698,179,thing,mouse_in_the_house,24,0.1509433962264151,0.3214740976691246,0.30053937435150146,5.0,4.7445,1088.67
699,180,center,the_surprise,21,0.275,0.19830048829317093,0.25629404187202454,6.0,3.3685,45.78
701,180,react,toads,17,0.1619718309859155,0.21186496261507273,0.2782677412033081,5.0,2.5866,7.549999999999999
713,184,understand,the_surprise,22,0.1625,-0.0835537537932396,-0.0835537537932396,10.0,4.391,482.45
715,185,long,toads,18,0.09154929577464789,0.2540334165096283,0.2540334165096283,4.0,4.537,675.16
717,186,sticky,toads,18,0.07746478873239436,0.23524165153503418,0.1953834891319275,6.0,2.4669,5.73
720,187,tongue,toads,18,0.04225352112676056,0.19888493170340857,0.4187338054180145,6.0,3.2014,31.16
721,187,wall,mouse_in_the_house,25,0.16981132075471697,0.15411832928657532,0.15411832928657532,4.0,3.557,70.69
726,189,dart,toads,18,0.04929577464788732,0.1397788356989622,0.281665563583374,4.0,1.9956,1.92
735,192,eat,toads,18,0.04225352112676056,0.1440601609647274,0.09502208977937698,3.0,4.1088,251.88
737,192,second,mouse_in_the_house,25,0.2641509433962264,0.2163621261715889,0.17181162536144257,6.0,4.1618,284.57
738,193,floors,mouse_in_the_house,25,0.3018867924528302,0.2888529549042384,0.1458708494901657,6.0,2.6107,7.9799999999999995
742,194,victim,toads,18,0.07746478873239436,0.07938909872124593,-0.05905858054757118,6.0,3.3865,47.73
747,196,brown,the_surprise,23,0.075,0.12315934151411057,0.12315934151411057,5.0,3.4867,60.11999999999999
751,197,fuzzy,the_surprise,23,0.1125,0.16982572723645717,0.34336140751838684,5.0,2.4742,5.82
752,197,people,mouse_in_the_house,26,0.05660377358490566,0.3747120797634125,0.3747120797634125,6.0,4.7501,1102.98
753,198,aim,toads,19,0.08450704225352113,0.08306480199098587,0.08306480199098587,3.0,2.8802,14.86
754,198,left,mouse_in_the_house,26,0.09433962264150944,0.16147306188941002,0.11082816869020462,4.0,4.3928,484.45
755,198,puppy,the_surprise,23,0.075,0.1360129676759243,0.20638889074325562,5.0,2.7672,11.45
759,200,buying,mouse_in_the_house,26,0.09433962264150944,0.2452421635389328,0.13745830953121185,6.0,3.2253,32.92
760,200,spot,toads,19,0.07746478873239436,0.2074781209230423,0.17503325641155243,4.0,3.4971,61.57
762,201,gave,the_surprise,24,0.125,0.028816815465688705,0.028816815465688705,4.0,4.0944,243.69
765,202,house,mouse_in_the_house,26,0.03773584905660377,0.3031672164797783,0.3089025616645813,5.0,4.4185,514.0
766,202,sam,the_surprise,24,0.0375,-0.0021260492503643036,-0.04163922369480133,3.0,3.7980999999999994,123.16
772,204,catches,toads,19,0.04929577464788732,0.23750614374876022,0.33693772554397583,7.0,2.5276,6.59
773,204,puppy,the_surprise,24,0.025,0.02714012811581294,0.08300470560789108,5.0,2.7672,11.45
777,206,came,mouse_in_the_house,27,0.1509433962264151,0.17984668910503387,0.17984668910503387,4.0,4.3738,463.73
779,206,snails,toads,19,0.06338028169014084,0.21169005054980516,0.3208259344100952,6.0,2.0569,2.22
780,207,sang,the_surprise,24,0.25,0.04045346938073635,-0.10754818469285965,4.0,2.6232,8.22
781,207,slugs,toads,19,0.06338028169014084,0.3211200773715973,0.7113310098648071,5.0,1.9685,1.8
784,208,happy,the_surprise,24,0.075,0.11113384142518043,0.025820357725024223,5.0,4.2303,333.2
786,209,birthday,the_surprise,24,0.05,0.1556680518357704,0.34117233753204346,8.0,3.6954000000000002,97.22
787,209,flies,toads,19,0.014084507042253521,0.32352175066868466,0.43376487493515015,5.0,2.8561,14.06
789,210,house,mouse_in_the_house,27,0.03773584905660377,0.37501435726881027,0.21088974177837372,5.0,4.4185,514.0
801,214,birthday,the_surprise,25,0.05,0.16658858954906464,0.16658858954906464,8.0,3.6954000000000002,97.22
806,215,world,toads,20,0.035211267605633804,0.3412884771823883,0.3412884771823883,5.0,4.3658,455.22
807,216,right,mouse_in_the_house,28,0.1509433962264151,0.3838998079299927,0.3838998079299927,5.0,5.3105,4008.39
808,216,toads,toads,20,0.028169014084507043,0.2093701884150505,0.1575336903333664,5.0,1.4914,0.59
810,217,size,mouse_in_the_house,28,0.20754716981132076,0.15628884732723236,0.1847125142812729,4.0,3.3718,46.14
811,218,considered,toads,20,0.07746478873239436,0.31896023948987323,0.14240697026252747,10.0,3.073,23.18
817,221,pests,toads,20,0.21830985915492956,0.32094931975007057,0.25994959473609924,5.0,1.2553,0.33
824,224,time,toads,21,0.014084507042253521,0.37654605507850647,0.37654605507850647,4.0,4.9995,1958.63
825,225,ago,toads,21,0.035211267605633804,0.026080567855387926,0.053604915738105774,3.0,4.1641,286.12
826,225,stairs,mouse_in_the_house,29,0.18867924528301888,0.3865422010421753,0.3865422010421753,6.0,3.0839,23.759999999999998
827,226,humans,toads,21,0.04929577464788732,0.21830578396717706,0.06357725709676743,6.0,2.9201,16.29
829,227,mouse,mouse_in_the_house,29,0.07547169811320754,0.18153680860996246,0.25984716415405273,5.0,2.9894,19.12
831,228,ran,mouse_in_the_house,29,0.11320754716981132,0.24288154020905495,-0.01801992580294609,3.0,3.6332,84.23999999999998
833,229,bring,toads,21,0.04225352112676056,0.16069044545292854,0.2289019674062729,5.0,4.2224,327.16
836,230,toads,toads,21,0.014084507042253521,0.14822747223079205,0.024687854573130608,5.0,1.4914,0.59
839,232,ships,toads,21,0.09859154929577464,0.19880538992583752,0.24688896536827087,5.0,3.0013,19.65
842,233,wall,mouse_in_the_house,29,0.24528301886792453,0.28125334717333317,0.06358020752668381,4.0,3.557,70.69
843,234,new,toads,21,0.04929577464788732,0.14511227042281202,0.1518629938364029,3.0,4.5672,723.78
846,235,lands,toads,21,0.07042253521126761,0.24880399042740464,0.16274762153625488,5.0,2.5527,6.98
852,238,said,mouse_in_the_house,30,0.07547169811320754,0.3982781171798706,0.3982781171798706,4.0,4.7523,1108.45
853,239,humans,toads,22,0.04929577464788732,0.11864863336086273,0.11864863336086273,6.0,2.9201,16.29
854,239,oh,mouse_in_the_house,30,0.16981132075471697,0.04097324376925826,-0.012547467835247517,2.0,5.2247,3289.8200000000006
860,242,believe,toads,22,0.09859154929577464,0.28665580227971077,0.4651235342025757,7.0,4.5036,625.14
861,243,mouse,mouse_in_the_house,30,0.05660377358490566,0.01316363193715612,-0.007558973040431738,5.0,2.9894,19.12
863,244,toads,toads,22,0.04225352112676056,0.2028129349152247,0.10454452037811279,5.0,1.4914,0.59
867,246,eat,toads,22,0.04929577464788732,0.22301851585507393,0.2594378888607025,3.0,4.1088,251.88
869,247,house,mouse_in_the_house,31,0.018867924528301886,0.21180516481399536,0.21180516481399536,5.0,4.4185,514.0
871,248,bugs,toads,22,0.07042253521126761,0.25258743315935134,0.23341384530067444,4.0,2.8426,13.63
875,250,like,toads,22,0.08450704225352113,0.2670211140066385,0.21090932190418243,4.0,5.3095,3998.9599999999996
879,252,buy,mouse_in_the_house,31,0.1509433962264151,0.1598135307431221,0.13962234556674957,3.0,3.9919,192.43
880,252,eat,toads,22,0.028169014084507043,0.3497308726821627,0.3226282000541687,3.0,4.1088,251.88
881,253,crops,toads,22,0.035211267605633804,0.25677378103137016,0.23649325966835022,5.0,2.1271,2.61
884,254,mouse,mouse_in_the_house,31,0.03773584905660377,0.16710288325945535,0.06811586022377014,5.0,2.9894,19.12
889,257,predators,toads,23,0.07042253521126761,0.40043261647224426,0.40043261647224426,9.0,1.9823000000000002,1.86
890,258,toads,toads,23,0.035211267605633804,0.33628881722688675,0.4892096519470215,5.0,1.4914,0.59
891,259,quickly,toads,23,0.056338028169014086,0.26431209842363995,0.1638735830783844,7.0,3.4597,56.49
892,260,grew,toads,23,0.04929577464788732,0.06470800982788205,0.0689891055226326,4.0,3.1744,29.27
894,262,numbers,toads,23,0.09859154929577464,0.2585237927734852,0.055840540677309036,7.0,3.3056,39.61
897,265,harm,toads,24,0.06338028169014084,0.07774858921766281,0.07774858921766281,4.0,3.2101,31.78
898,266,local,toads,24,0.08450704225352113,0.06863643601536751,0.049304790794849396,5.0,3.3282,41.73
899,267,habitats,toads,24,0.13380281690140844,0.31237755219141644,0.20754551887512207,8.0,1.0792,0.22
901,269,eating,toads,24,0.035211267605633804,0.3095555678009987,0.3513912260532379,6.0,3.4918,60.82
905,273,food,toads,24,0.04225352112676056,0.3287067413330078,0.5599008798599243,4.0,3.8964000000000003,154.43
910,278,animals,toads,25,0.028169014084507043,0.30719876289367676,0.30719876289367676,7.0,3.2997,39.08
912,280,try,toads,25,0.02112676056338028,0.1982341632246971,0.15203121304512024,3.0,4.3859,476.75
914,282,eat,toads,25,0.007042253521126761,0.30455615123112995,0.4163646399974823,3.0,4.1088,251.88
920,288,know,toads,26,0.035211267605633804,0.2486756592988968,0.2486756592988968,4.0,5.4651,5721.18
922,290,toads,toads,26,0.04225352112676056,0.32507263869047165,0.1451893299818039,5.0,1.4914,0.59
924,292,poison,toads,26,0.06338028169014084,0.3485151529312134,0.37498530745506287,6.0,3.098,24.55
927,295,skin,toads,26,0.014084507042253521,0.19973889365792274,0.22847576439380646,4.0,3.3516,44.04
932,300,trying,toads,27,0.0,0.30096888542175293,0.30096888542175293,6.0,4.3589,448.02
935,303,rid,toads,27,0.02112676056338028,0.13539551943540573,0.1736753284931183,3.0,3.4847,59.84
937,305,toads,toads,27,0.035211267605633804,0.19275353103876114,0.11303327977657318,5.0,1.4914,0.59
939,307,gardens,toads,27,0.056338028169014086,0.13143819384276867,0.3149484097957611,7.0,2.316,4.04
941,309,parks,toads,27,0.07042253521126761,0.19955583438277244,0.6048873066902161,5.0,2.281,3.73
